mass1	mass2	mass3
151607834065.61523	382576130495.6521	232129633552.0989
4096267649.934705	10337140648.66282	10365582304.646036
3134399726.476831	7570235003.341433	13617737385.290302
15867908408.618694	17650644345.766243	23635722122.00469
11421116251.882202	24200245623.941097	18719856944.42425
42832166048.32942	57391824083.53473	83134697319.94
45485919941.93145	67572063847.63983	85021835384.58888
17691156654.74001	41790281503.75204	40465127119.00446
18402114965.19853	29286254282.787384	29679010039.289043
24374766970.70444	21103485853.62694	34415373873.46508
63940635036.28185	24028686833.095688	73917832441.17944
131202753593.84557	202878593797.37805	111401605701.7027
59563252958.998726	136371020165.8746	127689214381.69353
41290040113.68631	64235676191.78477	83845565730.19032
29813632146.131725	65875384712.51133	50778117903.70228
16477705228.69584	71049070088.90057	24988685454.784668
36664874854.70677	62378985174.20125	38759987312.76533
45232566585.6605	23205043819.98146	23302490408.603653
96172168318.34642	171834286165.96555	94880822923.2862
205524335505.7948	67550021795.99748	255451308344.61227
60558362970.23389	131404270275.09576	108060027697.29044
91639598819.65692	142055911312.30646	138902900190.48364
43242325772.83694	65089446895.78181	54184122357.55058
74259662634.1006	116235733670.36154	116350656076.98216
143630016587.81494	208415609343.68915	252021284348.3553
89980137212.24002	108978701111.47852	140199256911.42014
55936838438.4806	83114080565.91846	57890100372.0719
63820889495.67519	96676954233.46793	106023257192.80405
142962109861.15256	135142386145.22116	344575257204.6392
220169225575.79895	164956099752.55353	291378910039.1927
339868862734.17285	118287277577.48991	524722802513.7386
25206515656.455757	16295107582.372688	31571354937.89569
338301306659.85895	376526767719.6231	486140925607.4912
138056808192.3324	171631694275.74478	295954087488.3562
148534736585.3571	125946712928.2869	161934915760.63663
207677495441.8332	318158262068.8737	259373407076.1408
106485075340.2732	207344906506.62747	227396044411.0427
136222329854.88255	135568054061.92474	171527608413.36655
134498186193.02486	110551288334.48932	243686248482.2819
181893966582.63196	217267383880.46277	306651944680.18146
33828915998.92718	65197173727.813385	39361520495.54885
56948032511.98799	101208394204.99364	91948856327.64636
81021152717.63623	118406981768.11977	125003359826.7446
91848937099.7902	146434727666.10373	138367194661.71103
49234505957.061584	107087810892.8838	73994173958.3342
72178820630.74869	92113076663.31674	87845327232.98647
15919674580.20935	29030089468.22661	31387176159.217594
12379777544.748692	12837685830.30777	19963707682.41049
16698034672.574238	20311933571.899105	21929225514.00476
17427625601.405464	32965852668.08891	37710572441.037445
14672546925.145773	14137963828.259844	14249820727.094547
9901020987.322884	13896822731.418472	12923385124.110014
12691494913.133686	16873397206.718882	16128096049.735573
31046265445.988384	42387500795.52354	72251364334.10098
14073183971.5113	23596253440.269382	23261247384.636654
8229638304.76992	32901375189.252808	11458743151.443602
17929365519.00675	26160143175.008263	28461149080.7568
25913718155.59162	11332185333.82854	30300366379.66169
6842636329.841776	11864112528.830528	10852917348.47944
18596443026.496967	59729122085.22416	28187947868.32021
41973344114.23074	36769092519.88882	51373046901.74514
36985979275.01037	40700420862.12564	55893394625.17332
109837332975.4146	222684199159.65167	116660842708.86696
49040509918.286446	69001767007.2125	71415696801.09009
66646977419.60058	68109926376.13336	67494149251.70491
65989219216.00372	104329133741.5545	92464815959.98996
69844309712.4827	93298030323.1181	104705966258.3722
105897121851.21529	147413703058.7731	152160657098.8804
340071530615.808	105264027095.6735	343602640836.60925
32607459918.357063	37443749499.74055	45377366315.82811
62889636355.17515	82189460771.40128	62415575809.69753
145483357093.88037	290359107560.7487	127196413147.86108
5752414612.289142	11342357506.673538	11076196619.477669
70238452837.87733	101239202231.64449	81290975965.31343
244303816228.65317	307758362432.74664	264478599867.2318
55829601178.65867	111450767540.69064	81788041305.54211
18636078434.841537	27555911728.851616	25163873599.897152
9364976956.65973	8018814923.147184	14892071034.688742
33472811063.06861	40188636011.66548	49860626385.32341
8789862274.906065	14272595703.061258	13819714804.030687
54539167390.64108	153266535336.27798	131886551494.95776
10620520882.559278	18214007637.75434	12256686354.41074
48316798165.10247	48357223459.41248	80503283249.93724
34542296863.41499	38340355669.21989	41500916623.31313
60289609631.90576	46726905169.57129	62821985652.06398
55552984935.1276	81116391666.52135	85483851883.81627
99794370655.84804	167858817180.54034	197577120101.96
66398430002.46063	79537657523.37973	134280447268.02946
39548527671.2441	80474378763.54558	74781247126.59607
63216736967.05494	44347783303.20404	78470784932.49051
36310643721.6962	79980366037.99713	45859995862.12767
